Year,College,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean,Disciplinary Area
2009-2010,Sixth,44.0,12.0%,3.22,47.7%,25.0%,222,12.9,8.4,Science/Math
2009-2010,Revelle,310.0,24.4%,3.15,37.1%,26.5%,220,12.5,8.8,Biology
2009-2010,Muir,284.0,22.4%,3.22,47.5%,26.4%,221,12.5,8.6,Biology
2009-2010,Marshall,213.0,16.8%,3.17,42.7%,24.4%,212,13.1,8.5,Biology
2009-2010,Warren,224.0,17.7%,3.14,39.3%,23.2%,216,12.8,7.5,Biology
2009-2010,Roosevelt,107.0,8.4%,3.03,34.6%,19.6%,224,13.8,9.3,Biology
2009-2010,Sixth,130.0,10.3%,3.22,48.5%,24.6%,213,12.7,7.2,Biology
2009-2010,Revelle,278.0,9.9%,3.01,38.5%,16.2%,211,13.2,9.2,Social Science
2009-2010,Muir,581.0,20.6%,3.15,42.9%,24.1%,203,12.1,7.9,Social Science
2009-2010,Marshall,569.0,20.2%,3.11,39.0%,20.7%,199,12.8,7.4,Social Science
2009-2010,Warren,457.0,16.2%,3.07,34.1%,21.4%,197,12.6,7.2,Social Science
2009-2010,Roosevelt,556.0,19.7%,3.17,41.5%,25.7%,207,12.6,7.4,Social Science
2009-2010,Sixth,375.0,13.3%,3.08,42.1%,16.5%,200,12.6,6.8,Social Science
2010-2011,Revelle,13.0,5.1%,3.23,46.2%,23.1%,236,14.1,--,Arts
2010-2011,Muir,57.0,22.3%,3.45,50.9%,42.1%,212,13.1,9.6,Arts
2010-2011,Marshall,34.0,13.3%,3.43,35.3%,52.9%,213,12.4,6.5,Arts
2010-2011,Warren,37.0,14.5%,3.27,51.4%,27.0%,221,15.2,9.1,Arts
2010-2011,Roosevelt,34.0,13.3%,3.34,47.1%,41.2%,221,13.0,9.3,Arts
2010-2011,Sixth,81.0,31.6%,3.45,43.2%,48.1%,210,13.2,7.9,Arts
2010-2011,Revelle,27.0,10.4%,3.17,40.7%,22.2%,223,13.2,12.5,Humanities
2010-2011,Muir,63.0,24.2%,3.38,52.4%,36.5%,215,12.5,7.0,Humanities
2010-2011,Marshall,46.0,17.7%,3.28,37.0%,32.6%,203,13.8,6.6,Humanities
2010-2011,Warren,41.0,15.8%,3.25,43.9%,31.7%,200,12.6,6.1,Humanities
2010-2011,Roosevelt,55.0,21.2%,3.29,54.5%,27.3%,203,12.4,7.1,Humanities
2010-2011,Sixth,28.0,10.8%,3.33,53.6%,32.1%,213,12.8,8.3,Humanities
2010-2011,Revelle,127.0,15.5%,3.13,35.4%,22.8%,242,13.7,10.0,Engineering
2010-2011,Muir,120.0,14.7%,3.21,45.0%,25.0%,237,13.8,10.5,Engineering
2010-2011,Marshall,112.0,13.7%,3.13,42.0%,19.6%,236,13.7,9.7,Engineering
2010-2011,Warren,256.0,31.3%,3.10,36.7%,20.7%,229,13.3,9.7,Engineering
2010-2011,Roosevelt,59.0,7.2%,3.16,47.5%,20.3%,247,13.6,8.9,Engineering
2010-2011,Sixth,144.0,17.6%,3.09,45.1%,16.7%,237,13.7,9.4,Engineering
2010-2011,Revelle,101.0,24.5%,3.13,44.6%,20.8%,229,13.3,8.6,Science/Math
2010-2011,Muir,76.0,18.4%,3.16,42.1%,26.3%,227,13.3,8.5,Science/Math
2010-2011,Marshall,57.0,13.8%,3.06,33.3%,22.8%,219,13.0,9.4,Science/Math
2010-2011,Warren,85.0,20.6%,3.08,28.2%,25.9%,221,13.4,8.3,Science/Math
2010-2011,Roosevelt,37.0,9.0%,2.97,29.7%,16.2%,226,13.8,9.7,Science/Math
2010-2011,Sixth,57.0,13.8%,3.13,50.9%,21.1%,231,13.6,8.6,Science/Math
2010-2011,Revelle,366.0,24.7%,3.15,42.9%,21.6%,218,12.8,8.8,Biology
2010-2011,Muir,270.0,18.2%,3.20,38.1%,29.6%,220,12.8,8.1,Biology
2010-2011,Marshall,226.0,15.2%,3.15,42.0%,24.8%,210,12.6,7.9,Biology
2010-2011,Warren,266.0,17.9%,3.17,37.6%,27.1%,220,13.0,8.3,Biology
2010-2011,Roosevelt,175.0,11.8%,3.09,40.0%,19.4%,224,13.1,9.5,Biology
2010-2011,Sixth,180.0,12.1%,3.14,48.3%,16.7%,217,12.9,8.0,Biology
2010-2011,Revelle,247.0,8.5%,3.02,39.7%,14.6%,213,13.3,8.5,Social Science
2010-2011,Muir,548.0,18.9%,3.15,38.0%,25.4%,204,12.8,7.3,Social Science
2010-2011,Marshall,635.0,21.9%,3.13,40.3%,21.1%,200,12.9,7.2,Social Science
2010-2011,Warren,467.0,16.1%,3.14,40.9%,23.6%,201,12.6,6.8,Social Science
2010-2011,Roosevelt,585.0,20.1%,3.15,39.5%,24.8%,206,12.6,7.2,Social Science
2010-2011,Sixth,424.0,14.6%,3.09,47.6%,13.4%,200,12.8,6.7,Social Science
2011-2012,Revelle,15.0,6.7%,3.17,6.7%,33.3%,236,13.2,9.2,Arts
2011-2012,Muir,47.0,20.9%,3.37,57.4%,27.7%,215,13.0,7.6,Arts
2011-2012,Marshall,29.0,12.9%,3.34,41.4%,37.9%,209,12.3,7.4,Arts
2011-2012,Warren,20.0,8.9%,3.22,45.0%,25.0%,204,13.9,7.7,Arts
2011-2012,Roosevelt,34.0,15.1%,3.31,44.1%,38.2%,220,12.8,9.6,Arts
2011-2012,Sixth,80.0,35.6%,3.39,41.3%,45.0%,212,13.5,7.3,Arts
2011-2012,Revelle,23.0,7.9%,2.92,34.8%,13.0%,218,15.8,10.6,Humanities
2011-2012,Muir,62.0,21.2%,3.26,33.9%,37.1%,205,12.1,8.0,Humanities
2011-2012,Marshall,52.0,17.8%,3.26,25.0%,40.4%,203,12.4,7.7,Humanities
2011-2012,Warren,55.0,18.8%,3.21,52.7%,25.5%,210,12.9,9.4,Humanities
2011-2012,Roosevelt,73.0,25.0%,3.27,42.5%,32.9%,216,13.3,8.4,Humanities
2011-2012,Sixth,27.0,9.2%,3.26,51.9%,22.2%,211,12.8,7.1,Humanities
2011-2012,Revelle,126.0,14.1%,3.09,36.5%,22.2%,243,13.7,10.7,Engineering
2011-2012,Muir,119.0,13.3%,3.16,32.8%,30.3%,238,13.3,8.9,Engineering
2011-2012,Marshall,150.0,16.7%,3.14,49.3%,18.0%,232,13.3,9.7,Engineering
2011-2012,Warren,230.0,25.7%,3.16,40.0%,24.3%,232,13.3,8.7,Engineering
2011-2012,Roosevelt,89.0,9.9%,3.11,32.6%,24.7%,243,13.8,10.3,Engineering
2011-2012,Sixth,182.0,20.3%,3.13,39.6%,21.4%,236,14.1,9.1,Engineering
2011-2012,Revelle,94.0,23.0%,3.11,35.1%,21.3%,226,13.2,9.4,Science/Math
2011-2012,Muir,89.0,21.8%,3.24,44.9%,29.2%,226,12.7,7.9,Science/Math
2011-2012,Marshall,69.0,16.9%,3.20,39.1%,29.0%,220,12.7,9.3,Science/Math
2011-2012,Warren,59.0,14.4%,3.07,33.9%,20.3%,223,13.8,7.6,Science/Math
2011-2012,Roosevelt,45.0,11.0%,3.08,46.7%,15.6%,225,13.8,8.0,Science/Math
2011-2012,Sixth,53.0,13.0%,3.06,41.5%,17.0%,229,13.6,8.3,Science/Math
2011-2012,Revelle,399.0,27.0%,3.13,34.8%,24.3%,221,12.8,8.4,Biology
2011-2012,Muir,264.0,17.9%,3.22,36.7%,32.2%,218,12.7,8.0,Biology
2011-2012,Marshall,258.0,17.5%,3.18,40.7%,27.5%,211,12.8,7.5,Biology
2011-2012,Warren,229.0,15.5%,3.15,43.2%,22.3%,217,12.7,8.6,Biology
2011-2012,Roosevelt,162.0,11.0%,3.11,41.4%,19.8%,222,13.0,9.3,Biology
2011-2012,Sixth,166.0,11.2%,3.06,39.8%,16.3%,218,13.2,7.9,Biology
2011-2012,Revelle,287.0,9.5%,2.98,41.5%,11.1%,211,13.3,8.8,Social Science
2011-2012,Muir,569.0,18.8%,3.17,39.0%,26.4%,205,12.7,7.0,Social Science
2011-2012,Marshall,693.0,22.8%,3.14,40.5%,23.2%,199,12.8,6.8,Social Science
2011-2012,Warren,440.0,14.5%,3.12,40.9%,22.7%,202,12.7,7.1,Social Science
2011-2012,Roosevelt,635.0,20.9%,3.18,36.7%,29.8%,207,12.7,7.3,Social Science
2011-2012,Sixth,410.0,13.5%,3.11,43.7%,18.5%,201,13.2,6.9,Social Science
2012-2013,Revelle,9.0,4.3%,3.21,66.7%,11.1%,242,15.0,10.0,Arts
2012-2013,Muir,49.0,23.6%,3.47,36.7%,55.1%,214,12.7,8.9,Arts
2012-2013,Marshall,28.0,13.5%,3.31,35.7%,39.3%,218,14.1,8.8,Arts
2012-2013,Warren,19.0,9.1%,3.37,52.6%,36.8%,218,13.8,7.3,Arts
2012-2013,Roosevelt,35.0,16.8%,3.35,45.7%,37.1%,217,14.6,8.3,Arts
2012-2013,Sixth,68.0,32.7%,3.37,42.6%,39.7%,212,13.9,7.9,Arts
2012-2013,Revelle,20.0,8.4%,2.97,25.0%,20.0%,220,13.8,8.5,Humanities
2012-2013,Muir,51.0,21.3%,3.26,45.1%,29.4%,205,12.7,9.0,Humanities
2012-2013,Marshall,50.0,20.9%,3.30,46.0%,34.0%,208,14.4,7.7,Humanities
2012-2013,Warren,35.0,14.6%,3.24,51.4%,25.7%,203,13.4,7.2,Humanities
2012-2013,Roosevelt,54.0,22.6%,3.29,35.2%,40.7%,212,14.3,7.5,Humanities
2012-2013,Sixth,29.0,12.1%,3.29,37.9%,37.9%,209,13.7,7.9,Humanities
2012-2013,Revelle,162.0,15.4%,3.11,42.6%,18.5%,245,13.8,9.8,Engineering
2012-2013,Muir,149.0,14.2%,3.16,40.3%,24.2%,235,13.3,9.2,Engineering
2012-2013,Marshall,135.0,12.8%,3.11,43.7%,18.5%,234,13.6,9.4,Engineering
2012-2013,Warren,313.0,29.8%,3.14,39.6%,23.0%,232,13.3,9.7,Engineering
2012-2013,Roosevelt,97.0,9.2%,3.08,46.4%,14.4%,239,13.7,9.7,Engineering
2012-2013,Sixth,196.0,18.6%,3.15,37.8%,24.5%,238,13.9,9.1,Engineering
2012-2013,Revelle,101.0,19.3%,3.10,33.7%,26.7%,225,13.0,8.9,Science/Math
2012-2013,Muir,92.0,17.6%,3.14,39.1%,26.1%,226,12.9,8.7,Science/Math
2012-2013,Marshall,99.0,19.0%,3.15,30.3%,26.3%,213,12.8,7.7,Science/Math
2012-2013,Warren,91.0,17.4%,3.18,38.5%,28.6%,221,12.8,8.8,Science/Math
2012-2013,Roosevelt,61.0,11.7%,3.06,32.8%,21.3%,220,13.0,8.1,Science/Math
2012-2013,Sixth,78.0,14.9%,3.18,44.9%,23.1%,221,12.8,8.1,Science/Math
2012-2013,Revelle,288.0,23.7%,3.23,40.3%,31.2%,222,12.9,8.8,Biology
2012-2013,Muir,210.0,17.3%,3.23,34.3%,35.7%,224,12.9,8.4,Biology
2012-2013,Marshall,239.0,19.7%,3.22,38.1%,29.7%,211,12.6,8.1,Biology
2012-2013,Warren,201.0,16.5%,3.20,36.3%,31.3%,221,12.9,9.0,Biology
2012-2013,Roosevelt,154.0,12.7%,3.11,33.8%,24.0%,223,13.3,9.5,Biology
2012-2013,Sixth,123.0,10.1%,3.15,35.8%,26.8%,217,13.6,7.7,Biology
2012-2013,Revelle,241.0,8.2%,3.02,33.2%,18.7%,215,13.4,8.5,Social Science
2012-2013,Muir,527.0,18.0%,3.13,41.2%,22.6%,205,12.9,7.4,Social Science
2012-2013,Marshall,669.0,22.8%,3.13,39.6%,22.3%,201,12.8,7.0,Social Science
2012-2013,Warren,454.0,15.5%,3.08,37.2%,22.2%,203,12.6,7.5,Social Science
2012-2013,Roosevelt,605.0,20.7%,3.16,39.7%,26.3%,208,13.0,7.4,Social Science
2012-2013,Sixth,433.0,14.8%,3.12,40.6%,21.7%,204,12.9,6.9,Social Science
2013-2014,Revelle,18.0,8.7%,3.09,33.3%,22.2%,238,15.9,9.5,Arts
2013-2014,Muir,34.0,16.5%,3.46,32.4%,52.9%,210,13.5,7.5,Arts
2013-2014,Marshall,27.0,13.1%,3.39,29.6%,48.1%,209,14.0,7.0,Arts
2013-2014,Warren,25.0,12.1%,3.42,52.0%,44.0%,216,12.7,7.8,Arts
2013-2014,Roosevelt,26.0,12.6%,3.45,42.3%,50.0%,215,14.3,7.7,Arts
2013-2014,Sixth,76.0,36.9%,3.47,43.4%,48.7%,208,12.8,8.1,Arts
2013-2014,Revelle,20.0,11.8%,3.28,35.0%,40.0%,215,14.3,10.0,Humanities
2013-2014,Muir,34.0,20.0%,3.31,44.1%,32.4%,209,13.6,7.7,Humanities
2013-2014,Marshall,38.0,22.4%,3.27,47.4%,31.6%,208,12.1,8.5,Humanities
2013-2014,Warren,23.0,13.5%,3.27,30.4%,43.5%,213,13.6,8.4,Humanities
2013-2014,Roosevelt,45.0,26.5%,3.37,31.1%,44.4%,215,13.0,7.7,Humanities
2013-2014,Sixth,10.0,5.9%,3.12,30.0%,30.0%,205,13.6,11.8,Humanities
2013-2014,Revelle,169.0,15.9%,3.19,39.1%,27.2%,245,13.6,10.3,Engineering
2013-2014,Muir,127.0,11.9%,3.16,46.5%,19.7%,236,13.7,9.7,Engineering
2013-2014,Marshall,135.0,12.7%,3.18,40.0%,27.4%,238,13.4,9.8,Engineering
2013-2014,Warren,342.0,32.2%,3.16,44.7%,24.6%,232,13.2,10.0,Engineering
2013-2014,Roosevelt,110.0,10.3%,3.09,43.6%,16.4%,239,14.3,10.1,Engineering
2013-2014,Sixth,180.0,16.9%,3.13,43.3%,21.1%,238,13.5,9.1,Engineering
2013-2014,Revelle,132.0,21.1%,3.05,30.3%,22.0%,225,13.1,8.9,Science/Math
2013-2014,Muir,106.0,16.9%,3.13,41.5%,22.6%,228,13.0,8.6,Science/Math
2013-2014,Marshall,113.0,18.1%,3.06,31.9%,21.2%,220,13.5,8.4,Science/Math
2013-2014,Warren,100.0,16.0%,3.20,34.0%,31.0%,221,12.7,7.7,Science/Math
2013-2014,Roosevelt,77.0,12.3%,3.16,44.2%,23.4%,224,13.0,7.8,Science/Math
2013-2014,Sixth,98.0,15.7%,3.15,39.8%,25.5%,220,13.0,8.3,Science/Math
2013-2014,Revelle,255.0,24.1%,3.20,38.0%,29.4%,223,13.0,8.9,Biology
2013-2014,Muir,188.0,17.7%,3.31,37.8%,39.4%,222,12.7,8.4,Biology
2013-2014,Marshall,180.0,17.0%,3.21,38.9%,29.4%,217,13.1,8.4,Biology
2013-2014,Warren,171.0,16.1%,3.21,34.5%,31.6%,223,12.9,9.2,Biology
2013-2014,Roosevelt,136.0,12.8%,3.19,46.3%,21.3%,222,13.6,9.2,Biology
2013-2014,Sixth,130.0,12.3%,3.18,44.6%,25.4%,218,13.0,9.2,Biology
2013-2014,Revelle,325.0,11.3%,3.03,34.2%,16.9%,214,13.4,7.8,Social Science
2013-2014,Muir,522.0,18.2%,3.16,38.9%,26.1%,204,12.7,7.6,Social Science
2013-2014,Marshall,624.0,21.7%,3.13,39.4%,23.9%,199,12.8,7.2,Social Science
2013-2014,Warren,370.0,12.9%,3.09,37.3%,19.7%,205,12.9,7.5,Social Science
2013-2014,Roosevelt,580.0,20.2%,3.16,41.6%,24.1%,205,13.1,7.6,Social Science
2013-2014,Sixth,452.0,15.7%,3.15,42.5%,22.8%,205,12.8,7.5,Social Science
